iter	Passed	Remaining
0	140	139972
1	142	70961
2	143	47750
3	145	36112
4	146	29142
5	147	24490
6	149	21142
7	150	18600
8	151	16670
9	152	15124
10	153	13807
11	154	12701
12	155	11788
13	156	11011
14	157	10354
15	158	9763
16	159	9241
17	160	8751
18	161	8347
19	162	7949
20	163	7605
21	164	7300
22	165	7009
23	165	6744
24	166	6504
25	167	6279
26	168	6074
27	169	5876
28	170	5698
29	171	5530
30	171	5373
31	172	5225
32	173	5083
33	174	4944
34	174	4818
35	175	4699
36	176	4586
37	176	4475
38	177	4372
39	178	4275
40	178	4178
41	179	4088
42	179	4004
43	180	3919
44	180	3840
45	181	3764
46	182	3690
47	182	3620
48	183	3552
49	183	3487
50	184	3424
51	184	3362
52	184	3303
53	185	3246
54	185	3191
55	186	3138
56	186	3087
57	187	3037
58	187	2990
59	187	2943
60	188	2899
61	188	2855
62	189	2813
63	189	2773
64	190	2733
65	190	2695
66	190	2657
67	191	2618
68	191	2583
69	191	2549
70	192	2516
71	192	2484
72	193	2452
73	193	2421
74	193	2392
75	194	2363
76	194	2336
77	195	2309
78	195	2282
79	196	2256
80	196	2230
81	197	2205
82	197	2181
83	197	2157
84	198	2132
85	198	2110
86	198	2086
87	199	2064
88	199	2043
89	200	2022
90	200	2002
91	200	1982
92	201	1963
93	201	1944
94	202	1925
95	202	1907
96	202	1889
97	203	1872
98	203	1855
99	204	1838
100	204	1821
101	204	1803
102	205	1787
103	205	1772
104	206	1757
105	206	1742
106	207	1727
107	207	1713
108	207	1699
109	208	1685
110	208	1672
111	209	1659
112	209	1646
113	210	1633
114	210	1620
115	210	1607
116	211	1595
117	211	1582
118	212	1570
119	212	1558
120	212	1546
121	213	1535
122	213	1522
123	214	1512
124	214	1501
125	214	1490
126	215	1480
127	215	1468
128	215	1458
129	216	1448
130	216	1438
131	217	1428
132	217	1418
133	218	1409
134	218	1399
135	218	1390
136	219	1381
137	219	1372
138	220	1363
139	220	1354
140	220	1345
